Itemnum,Text,,,,,,,Edwards
1,Worry about things.,-2,-1,-2,-1,0,-1,-1.16667
2,Make friends easily.,4,3,3,3,4,3,3.33333
3,Have a vivid imagination.,3,1,3,0,2,1,1.66667
4,Trust others.,3,1,2,2,2,1,1.83333
5,Complete tasks successfully.,4,3,4,2,4,3,3.33333
6,Get angry easily.,-4,-3,-4,-4,-3,-3,-3.5
7,Love large parties.,2,0,0,3,2,0,1.16667
8,Believe in the importance of art.,3,0,2,0,1,0,1
9,Would never cheat on my taxes.,3,2,3,2,4,2,2.66667
10,Like order.,2,1,1,1,1,1,1.16667
11,Often feel blue.,-2,-2,-2,-2,-2,-2,-2
12,Take charge.,2,1,1,2,4,1,1.83333
13,Experience my emotions intensely.,1,0,3,-3,-1,0,0
14,Make people feel welcome.,3,4,4,4,2,4,3.5
15,Try to follow the rules.,2,3,3,2,3,3,2.66667
16,Am easily intimidated.,-2,-2,-2,-3,-3,-2,-2.33333
17,Am always busy.,0,1,-1,0,2,1,0.5
18,Prefer variety to routine.,0,0,0,1,0,0,0.16667
19,Am easy to satisfy.,1,3,3,2,1,3,2.16667
20,Go straight for the goal.,2,2,2,3,2,2,2.16667
21,Often eat too much.,-2,-3,-2,-2,-2,-3,-2.33333
22,Love excitement.,2,0,0,2,1,0,0.83333
23,Like to solve complex problems.,3,0,0,3,3,0,1.5
24,Dislike being the center of attention.,-1,0,0,-2,1,0,-0.33333
25,Get chores done right away.,2,3,2,1,3,3,2.33333
26,Panic easily.,-3,-2,-3,-3,-2,-2,-2.5
27,Radiate joy.,4,3,4,3,2,3,3.16667
28,Tend to vote for liberal political candidates.,0,0,0,0,1,0,0.16667
29,Sympathize with the homeless.,3,3,3,2,1,3,2.5
30,Avoid mistakes.,2,1,1,3,1,1,1.5
31,Fear for the worst.,-2,-1,-2,-2,-2,-1,-1.66667
32,Warm up quickly to others.,2,2,2,3,3,2,2.33333
33,Enjoy wild flights of fantasy.,2,0,0,-2,-1,0,-0.16667
34,Believe that others have good intentions.,2,2,1,3,1,2,1.83333
35,Excel in what I do.,4,0,3,4,4,2,2.83333
36,Get irritated easily.,-3,-2,-4,-4,-2,-2,-2.83333
37,Talk to a lot of different people at parties.,3,0,2,4,3,0,2
38,Like music.,1,0,,0,3,0,0.8
39,Stick to the rules.,1,3,2,3,2,3,2.33333
40,Like to tidy up.,3,1,2,2,1,1,1.66667
41,Dislike myself.,-3,-2,-4,-4,-3,-2,-3
42,Try to lead others.,2,2,2,3,3,2,2.33333
43,Feel others' emotions.,2,3,3,3,2,3,2.66667
44,Anticipate the needs of others.,3,1,3,3,3,1,2.33333
45,Keep my promises.,4,4,4,3,4,4,3.83333
46,Am afraid that I will do the wrong thing.,1,-1,2,-3,-2,-1,-0.66667
47,Am always on the go.,0,0,0,2,-1,0,0.16667
48,Like to visit new places.,2,0,0,2,3,0,1.16667
49,Can't stand confrontations.,-1,-1,2,-2,1,-1,-0.33333
50,Work hard.,4,3,3,3,3,3,3.16667
51,Don't know why I do some of the things I do.,-2,0,-1,-1,-2,0,-1
52,Seek adventure.,2,0,0,1,2,0,0.83333
53,Love to read challenging material.,2,0,0,1,1,0,0.66667
54,Dislike talking about myself.,1,0,2,-2,0,0,0.16667
55,Am always prepared.,3,2,2,2,4,2,2.5
56,Become overwhelmed by events.,-3,-1,-2,-3,-3,-1,-2.16667
57,Have a lot of fun.,3,2,3,2,3,2,2.5
58,Believe that there is no absolute right or wrong.,0,1,3,-3,1,1,0.5
59,Feel sympathy for those who are worse off than myself.,3,2,3,4,3,2,2.83333
60,Choose my words with care.,3,1,4,3,2,1,2.33333
61,Am afraid of many things.,-2,-2,-3,-2,-2,-2,-2.16667
62,Feel comfortable around people.,2,2,3,4,2,2,2.5
63,Love to daydream.,1,0,0,-1,0,0,0
64,Trust what people say.,1,2,1,1,2,2,1.5
65,Handle tasks smoothly.,3,1,3,2,3,1,2.16667
66,Get upset easily.,-3,-1,-4,-3,-2,-1,-2.33333
67,Enjoy being part of a group.,2,0,3,3,3,0,1.83333
68,See beauty in things that others might not notice.,3,0,3,3,1,0,1.66667
69,Use flattery to get ahead.,-1,-1,-1,-1,-1,-1,-1
70,"Want everything to be ""just right.""",0,-1,-1,-1,1,-1,-0.5
71,Am often down in the dumps.,-2,-1,-2,-3,-3,-1,-2
72,Can talk others into doing things.,3,1,-2,2,3,1,1.33333
73,Am passionate about causes.,3,2,2,3,3,2,2.5
74,Love to help others.,4,4,3,4,4,4,3.83333
75,Pay my bills on time.,1,4,2,2,2,4,2.5
76,Find it difficult to approach others.,-1,-1,-1,-3,-3,-1,-1.66667
77,Do a lot in my spare time.,3,0,1,1,2,0,1.16667
78,Interested in many things.,2,0,1,2,1,0,1
79,Hate to seem pushy.,1,2,3,2,-2,2,1.33333
80,Turn plans into actions.,3,2,3,3,-2,2,1.83333
81,Do things I later regret.,-2,-2,-3,-3,-2,-2,-2.33333
82,Love action.,1,0,0,2,2,0,0.83333
83,Have a rich vocabulary.,4,0,0,2,,0,1.2
84,Consider myself an average person.,1,2,0,-2,-4,2,-0.16667
85,Start tasks right away.,3,2,2,2,3,2,2.33333
86,Feel that I'm unable to deal with things.,-2,-2,-3,-3,-2,-2,-2.33333
87,Express childlike joy.,2,0,2,3,1,0,1.33333
88,Believe that criminals should receive help rather than punishment.,0,0,0,2,-1,0,0.16667
89,Value cooperation over competition.,3,1,2,3,2,1,2
90,Stick to my chosen path.,1,0,0,-2,0,0,-0.16667
91,Get stressed out easily.,-2,-2,-3,-3,-3,-2,-2.5
92,Act comfortably with others.,2,1,3,4,3,1,2.33333
93,Like to get lost in thought.,1,0,0,-1,-1,0,-0.16667
94,Believe that people are basically moral.,2,2,3,2,2,2,2.16667
95,Am sure of my ground.,3,1,3,1,3,1,2
96,Am often in a bad mood.,-3,-2,-3,-4,-3,-2,-2.83333
97,Involve others in what I am doing.,2,1,2,2,2,1,1.66667
98,Love flowers.,0,0,0,0,1,0,0.16667
99,Use others for my own ends.,-3,-2,-2,-4,-3,-2,-2.66667
100,Love order and regularity.,0,0,0,1,1,0,0.33333
101,Have a low opinion of myself.,-2,-1,-2,-3,-2,-1,-1.83333
102,Seek to influence others.,1,0,0,2,,0,0.6
103,Enjoy examining myself and my life.,2,1,0,1,3,1,1.33333
104,Am concerned about others.,3,3,3,4,-2,3,2.33333
105,Tell the truth.,3,4,4,3,3,4,3.5
106,Am afraid to draw attention to myself.,-1,0,0,-2,1,0,-0.33333
107,Can manage many things at the same time.,2,2,2,1,2,2,1.83333
108,Like to begin new things.,2,1,1,2,2,1,1.5
109,Have a sharp tongue.,-2,-3,-2,-3,-2,-3,-2.5
110,Plunge into tasks with all my heart.,3,0,3,3,2,0,1.83333
111,Go on binges.,-3,-3,-2,-3,-3,-3,-2.83333
112,Enjoy being part of a loud crowd.,-1,0,0,-4,2,0,-0.5
113,Can handle a lot of information.,2,2,2,2,3,2,2.16667
114,Seldom toot my own horn.,2,2,3,1,,2,2
115,Get to work at once.,1,1,2,2,3,1,1.66667
116,Can't make up my mind.,-1,-1,-2,-1,-2,-1,-1.33333
117,Laugh my way through life.,1,0,3,3,2,0,1.5
118,Believe in one true religion.,0,0,0,-3,0,0,-0.5
119,Suffer from others' sorrows.,1,0,0,2,1,0,0.66667
120,Jump into things without thinking.,-2,-2,-1,-3,-2,-2,-2
121,Get caught up in my problems.,-4,-1,-1,-3,-3,-1,-2.16667
122,Cheer people up.,3,3,3,4,3,3,3.16667
123,Indulge in my fantasies.,-1,0,0,-1,0,0,-0.33333
124,Believe in human goodness.,3,3,3,4,2,3,3
125,Come up with good solutions.,2,2,3,1,2,2,2
126,Lose my temper.,-3,-3,-4,-3,-2,-3,-3
127,Love surprise parties.,1,0,0,0,0,0,0.16667
128,Enjoy the beauty of nature.,2,2,2,2,0,2,1.66667
129,Know how to get around the rules.,1,2,0,-2,-2,-2,-0.5
130,Do things according to a plan.,2,2,2,1,2,2,1.83333
131,Have frequent mood swings.,-2,-1,-3,-3,-2,-1,-2
132,Take control of things.,1,2,1,2,3,2,1.83333
133,Try to understand myself.,3,1,2,2,3,1,2
134,Have a good word for everyone.,3,3,3,4,2,3,3
135,Listen to my conscience.,2,4,3,4,3,4,3.33333
136,Only feel comfortable with friends.,-1,0,-1,-2,-1,0,-0.83333
137,React quickly.,-1,0,0,2,2,0,0.5
138,Prefer to stick with things that I know.,-1,0,-1,-2,-1,0,-0.83333
139,Contradict others.,-1,-1,-2,-2,-1,-1,-1.33333
140,Do more than what's expected of me.,3,3,2,3,4,3,3
141,Love to eat.,-1,-1,0,-1,0,-1,-0.66667
142,Enjoy being reckless.,-2,0,-1,-4,-2,0,-1.5
143,Enjoy thinking about things.,0,0,0,1,1,0,0.33333
144,Believe that I am better than others.,-2,-2,-3,-4,-3,-2,-2.66667
145,Carry out my plans.,2,2,2,1,3,2,2
146,Get overwhelmed by emotions.,-2,0,-1,-3,-2,0,-1.33333
147,Love life.,4,3,3,3,2,3,3
148,Tend to vote for conservative political candidates.,0,0,0,0,0,0,0
149,Am not interested in other people's problems.,-2,-1,-2,-3,-2,-1,-1.83333
150,Make rash decisions.,-2,2,-1,-3,-1,2,-0.5
151,Am not easily bothered by things.,2,2,3,2,2,2,2.16667
152,Am hard to get to know.,-1,-1,-2,-3,-1,-1,-1.5
153,Spend time reflecting on things.,1,2,2,1,1,2,1.5
154,Think that all will be well.,3,2,0,2,1,2,1.66667
155,Know how to get things done.,2,2,3,3,3,2,2.5
156,Rarely get irritated.,2,1,3,2,2,1,1.83333
157,Prefer to be alone.,-2,0,-2,-2,-1,0,-1.16667
158,Do not like art.,-1,0,0,0,-1,0,-0.33333
159,Cheat to get ahead.,-3,-4,-3,-3,-4,-4,-3.5
160,Often forget to put things back in their proper place.,-1,-1,-1,-1,-1,-1,-1
161,Feel desperate.,-2,-2,-2,-2,-3,-2,-2.16667
162,Wait for others to lead the way.,0,0,0,-2,-1,0,-0.5
163,Seldom get emotional.,1,0,-1,1,1,0,0.33333
164,Look down on others.,-3,-3,-3,-3,-3,-3,-3
165,Break rules.,2,-3,-1,-4,-1,-3,-1.66667
166,Stumble over my words.,-1,-1,-2,-2,-2,-1,-1.5
167,Like to take it easy.,0,0,1,-1,1,0,0.16667
168,Dislike changes.,-1,-1,-2,-2,0,-1,-1.16667
169,Love a good fight.,-2,-2,-1,-2,-3,-2,-2
170,Set high standards for myself and others.,1,3,0,3,4,3,2.33333
171,Rarely overindulge.,2,1,1,2,1,1,1.33333
172,Act wild and crazy.,1,0,-2,-4,-2,0,-1.16667
173,Am not interested in abstract ideas.,-1,0,0,-1,-1,0,-0.5
174,Think highly of myself.,1,-1,0,1,-2,-1,-0.33333
175,Find it difficult to get down to work.,-2,-1,-2,-2,-3,-1,-1.83333
176,Remain calm under pressure.,1,2,3,2,3,2,2.16667
177,Look at the bright side of life.,3,3,3,4,2,3,3
178,Believe that too much tax money goes to support artists.,-1,0,0,-1,0,0,-0.33333
179,Tend to dislike soft-hearted people.,-2,-1,-3,-3,-2,-1,-2
180,Like to act on a whim.,0,0,0,-1,-1,0,-0.33333
181,Am relaxed most of the time.,2,2,2,2,2,2,2
182,Often feel uncomfortable around others.,-3,-1,-3,-4,-2,-1,-2.33333
183,Seldom daydream.,-1,0,0,0,1,0,0
184,Distrust people.,-2,-1,0,-2,-2,-1,-1.33333
185,Misjudge situations.,-1,-1,-2,-2,-3,-1,-1.66667
186,Seldom get mad.,2,2,4,2,3,2,2.5
187,Want to be left alone.,-2,-1,-2,-3,,-1,-1.8
188,Do not like poetry.,0,0,0,0,-1,0,-0.16667
189,Put people under pressure.,-2,0,-3,-2,,0,-1.4
190,Leave a mess in my room.,-1,0,-1,-2,-1,0,-0.83333
191,Feel that my life lacks direction.,-2,-1,-2,-2,-2,-1,-1.66667
192,Keep in the background.,-1,0,0,-3,-1,0,-0.83333
193,Am not easily affected by my emotions.,2,0,0,1,2,0,0.83333
194,Am indifferent to the feelings of others.,-2,-2,-4,-4,-3,-2,-2.83333
195,Break my promises.,-3,-4,-4,-3,-3,-4,-3.5
196,Am not embarrassed easily.,1,0,2,1,2,0,1
197,Like to take my time.,0,0,0,1,4,0,0.83333
198,Don't like the idea of change.,-1,-1,-1,-2,-1,-1,-1.16667
199,Yell at people.,-4,-4,-3,-4,2,-4,-2.83333
200,Demand quality.,2,2,0,2,3,2,1.83333
201,Easily resist temptations.,2,0,2,3,2,0,1.5
202,Willing to try anything once.,1,0,3,2,2,0,1.33333
203,Avoid philosophical discussions.,-1,0,-1,0,-1,0,-0.5
204,Have a high opinion of myself.,2,-1,-1,-2,-1,-1,-0.66667
205,Waste my time.,-2,-2,-2,-2,-2,-2,-2
206,Can handle complex problems.,2,1,3,3,4,1,2.33333
207,Laugh aloud.,2,1,3,4,3,1,2.33333
208,Believe laws should be strictly enforced.,1,1,0,-1,-1,1,0.16667
209,Believe in an eye for an eye.,-1,0,-2,-1,-2,0,-1
210,Rush into things.,-1,-1,-1,-2,-2,-1,-1.33333
211,Am not easily disturbed by events.,2,1,3,3,0,1,1.66667
212,Avoid contacts with others.,-3,-1,-2,-4,-3,-1,-2.33333
213,Do not have a good imagination.,-1,0,-1,-1,-1,0,-0.66667
214,Suspect hidden motives in others.,-1,-1,0,-2,-3,-1,-1.33333
215,Don't understand things.,-1,-1,-2,-3,-2,-1,-1.66667
216,Am not easily annoyed.,2,-2,4,3,2,-2,1.16667
217,Don't like crowded events.,-1,0,0,-1,-2,0,-0.66667
218,Do not enjoy going to art museums.,-1,0,-1,-1,-2,0,-0.83333
219,Pretend to be concerned for others.,0,-1,-1,-3,2,-1,-0.66667
220,Leave my belongings around.,-2,-1,-2,-1,,-1,-1.4
221,Seldom feel blue.,2,1,3,2,,1,1.8
222,Have little to say.,0,0,-2,-2,,0,-0.8
223,Rarely notice my emotional reactions.,0,0,-1,-2,2,0,-0.16667
224,Make people feel uncomfortable.,-4,-2,-4,-3,,-2,-3
225,Get others to do my duties.,-2,-2,-2,-4,-2,-2,-2.33333
226,Am comfortable in unfamiliar situations.,2,1,-1,3,3,1,1.5
227,Like a leisurely lifestyle.,0,1,-2,0,0,1,0
228,Am a creature of habit.,0,0,1,-2,-1,0,-0.33333
229,Insult people.,-3,-4,-4,-4,-3,-4,-3.66667
230,Am not highly motivated to succeed.,-3,3,2,-3,-2,3,0
231,Am able to control my cravings.,2,2,2,2,2,2,2
232,Seek danger.,1,0,0,-4,-2,0,-0.83333
233,Have difficulty understanding abstract ideas.,-2,0,-1,-1,-1,0,-0.83333
234,Know the answers to many questions.,3,1,3,3,3,1,2.33333
235,Need a push to get started.,-1,-1,-1,-2,-2,-1,-1.33333
236,Know how to cope.,4,2,3,2,3,2,2.66667
237,Amuse my friends.,3,1,3,1,2,1,1.83333
238,Believe that we coddle criminals too much.,0,0,-2,0,0,0,-0.33333
239,Try not to think about the needy.,-1,-1,-2,-2,-2,-1,-1.5
240,Do crazy things.,-1,-1,0,-4,-2,-1,-1.5
241,Don't worry about things that have already happened.,2,1,2,-1,2,1,1.16667
242,Am not really interested in others.,-2,-2,-4,-3,-3,-2,-2.66667
243,Seldom get lost in thought.,1,0,-2,1,2,0,0.33333
244,Am wary of others.,-2,-1,0,-3,-2,-1,-1.5
245,Have little to contribute.,-2,-1,-3,-2,-3,-1,-2
246,Keep my cool.,3,3,3,2,4,3,3
247,Avoid crowds.,-1,0,0,-1,-1,0,-0.5
248,Do not like concerts.,-1,0,-1,0,-1,0,-0.5
249,Take advantage of others.,-3,-4,-4,-4,-4,-4,-3.83333
250,Am not bothered by messy people.,1,0,1,0,2,0,0.66667
251,Feel comfortable with myself.,4,3,3,4,3,3,3.33333
252,Don't like to draw attention to myself.,-1,0,2,-2,1,0,0
253,Experience very few emotional highs and lows.,2,0,-2,-2,-2,0,-0.66667
254,Turn my back on others.,-2,-4,-4,-4,-4,-4,-3.66667
255,Do the opposite of what is asked.,-3,-3,-3,-3,-4,-3,-3.16667
256,Am not bothered by difficult social situations.,4,1,3,2,3,1,2.33333
257,Let things proceed at their own pace.,2,0,3,0,-1,0,0.66667
258,Dislike new foods.,-1,0,-2,-1,-1,0,-0.83333
259,Get back at others.,-2,-1,-4,-4,-4,-1,-2.66667
260,Do just enough work to get by.,-3,-2,-3,-3,-3,-2,-2.66667
261,Never spend more than I can afford.,3,3,2,3,3,3,2.83333
262,Would never go hang gliding or bungee jumping.,-1,0,-2,-1,-1,0,-0.83333
263,Am not interested in theoretical discussions.,-1,0,3,0,-1,0,0.16667
264,Boast about my virtues.,-1,-1,-4,-3,-3,-1,-2.16667
265,Have difficulty starting tasks.,-2,-1,-1,-2,-2,-1,-1.5
266,Readily overcome setbacks.,4,3,3,3,3,3,3.16667
267,Am not easily amused.,-1,0,-3,-3,-2,0,-1.5
268,Believe that we should be tough on crime.,2,0,-1,2,1,0,0.66667
269,Believe people should fend for themselves.,-1,-1,0,-3,-2,-1,-1.33333
270,Act without thinking.,-2,-2,-2,-2,-3,-2,-2.16667
271,Adapt easily to new situations.,3,2,3,3,4,2,2.83333
272,Keep others at a distance.,-2,-1,-2,-3,-3,-1,-2
273,Have difficulty imagining things.,-1,0,-1,0,-1,0,-0.5
274,Believe that people are essentially evil.,-3,-3,-4,-4,-3,-3,-3.33333
275,Don't see the consequences of things.,-3,-2,-3,-4,-2,-2,-2.66667
276,Rarely complain.,3,3,4,1,2,3,2.66667
277,Seek quiet.,0,0,0,-2,0,0,-0.33333
278,Do not enjoy watching dance performances.,-1,0,0,-1,-1,0,-0.5
279,Obstruct others' plans.,-3,-3,-3,-3,-3,-3,-3
280,Am not bothered by disorder.,1,-1,2,-1,-1,-1,-0.16667
281,Am very pleased with myself.,1,0,3,-2,-3,0,-0.16667
282,Hold back my opinions.,0,0,0,1,-2,0,-0.16667
283,Don't understand people who get emotional.,-2,0,-2,-2,-1,0,-1.16667
284,Take no time for others.,-3,-2,-3,-3,-3,-2,-2.66667
285,Misrepresent the facts.,-2,-3,-4,-3,-4,-3,-3.16667
286,Am able to stand up for myself.,2,2,3,2,3,2,2.33333
287,React slowly.,-1,-1,0,-1,-1,-1,-0.83333
288,Am attached to conventional ways.,0,-1,-2,-2,-1,-1,-1.16667
289,Hold a grudge.,-2,-2,-4,-3,-3,-2,-2.66667
290,Put little time and effort into my work.,-3,-3,-4,-2,-4,-3,-3.16667
291,Never splurge.,1,-2,-1,-1,0,-2,-0.83333
292,Dislike loud music.,0,0,0,0,0,0,0
293,Avoid difficult reading material.,-2,0,-2,-1,-1,0,-1
294,Make myself the center of attention.,-1,0,0,-2,-3,0,-1
295,Postpone decisions.,-1,-1,-2,-1,-2,-1,-1.33333
296,Am calm even in tense situations.,3,2,4,1,3,2,2.5
297,Seldom joke around.,-2,-1,-4,-2,-3,-1,-2.16667
298,Like to stand during the national anthem.,1,2,0,3,2,2,1.66667
299,Can't stand weak people.,-3,-2,-2,-1,-2,-2,-2
300,Often make last-minute plans.,-2,0,0,0,-1,0,-0.5